,,中远海运集运亚欧快航三线  (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COSCO SHIPPING LINES ASIA--EUROPE EXPRESS SERVICE LOOP 3 (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,2026. 3. 23,,,,
WEEK,VESSEL NAME,"VSL
CODE",S/O,"COS
VOYAGE        ( IRIS4 )",,"COMMON
VOYAGE",,TSN07,,DLC01,,TAO06,,SHA08,,NGB07,,SIN02,,RTM06,,,HAM01,,ANR07,,SHA08,,TSN07,,
,,,,,,,,天津,,大连,,青岛,,上海,,宁波,,新加坡,,鹿特丹,,,汉堡,,安特卫普,,上海,,天津,,
,,,,,,,,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETA,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,
,,,,,,,,FRI,SUN,MON,TUE,WED,FRI,SAT,SUN,MON,TUE,SUN,MON,TUE,TUE,FRI,SAT,TUE,WED,THU,TUE,WED,FRI,SUN,
37.0,COSCO SHIPPING LEO,CNF,COS,037W,037E,037W,037E,46269.0,46271.0,46272.0,46273.0,46274.0,46276.0,46277.0,46278.0,46279.0,46280.0,46285.0,46286.0,46315.0,46315.0,46319.0,46319.0,46322.0,46323.0,46325.0,46364.0,46365.0,46367.0,46369.0,
38.0,COSCO SHIPPING GEMINI,CSA,COS,037W,037E,037W,037E,46276.0,46278.0,46279.0,46280.0,46281.0,46283.0,46284.0,46285.0,46286.0,46287.0,46292.0,46293.0,46322.0,46322.0,46326.0,46326.0,46329.0,46330.0,46332.0,46371.0,46372.0,46374.0,46376.0,
39.0,COSCO SHIPPING SAGITTARIUS,CSE,COS,035W,035E,035W,035E,46283.0,46285.0,46286.0,46287.0,46288.0,46290.0,46291.0,46292.0,46293.0,46294.0,46299.0,46300.0,46329.0,46329.0,46333.0,46333.0,46336.0,46337.0,46339.0,46378.0,46379.0,46381.0,46383.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ports Code : TSN-Tianjin (Xingang), DLC-Dalian, TAO-Qingdao ,SHA-Shanghai , NGB-Ningbo ,SIN-Singapore , SZC-Suez Canal ,  PIR-Piraeus , RTM-Rotterdam , HAM-Hamburg , ANR-Antwerp .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vessels deployment : All COSCO SHIPPING Vessels - upgraded to 11x20000 teu type vsls in Y2018 .           vessel name abbr.:  CS -- COSCO SHIPPING      the Cape of Good Hope : CGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"R1 :    The Windows ( PFS ) in NW.EU ports will adjust / optimize suitably  , EU R24-ENS filling with ETA RTM to be unified as 1200LT too  ,  W/B week 15 is 1st voy of DAY 10 .              R2 :    Blank Sailings  .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"R3 :    E/B 5 voys will omit E/B SHA , SHA import cntrs will be discharged in W/B call ,   CS CAPRICORN 039E resume call E/B SHA ,      R4 :    E/B  7 + 3 voys will slide down 1 week fm OOCL DENMARK 006E till CS LEO 035E .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"R5 :    E/B 7 voys will slide down 1 week more fm CS GALAXY 028E till CS LEO 035E   ,  futher 7 voys will slide down 1 week fm CS GEMINI 035E till CS VIRGO 035E .       R6 :     M/V  CSCL ATLANTIC OCEAN  065W P/I AEU3 ( fm MEX service ) . ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R7 :    M/V CS ARIES 036E will exchange E/B voy position with M/V CS STAR 028E based on terminals beth plan in the NW.EU region .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
